Date,0-0.1,0.1-1,1-10,10-100,"100-1,000","1,000-10,000","10,000-100,000","100,000-1,000,000"
2022-04-09,249620,801801,1740383,4262052,3917272,5196597,2177261,659639
2022-04-10,249697,801890,1740461,4262298,3916686,5207972,2166863,659639
2022-04-11,249802,802451,1741151,4263787,3913921,5212037,2163567,659639
2022-04-12,249885,802783,1741627,4263639,3912218,5246250,2131128,659782
2022-04-13,250240,803156,1741486,4262130,3909084,5248674,2133068,660337
2022-04-14,250516,803647,1741946,4261034,3909990,5244974,2136481,660461
2022-04-15,250438,803755,1742206,4260819,3916031,5237370,2138483,660961
2022-04-16,250783,804104,1742947,4260903,3912344,5246232,2132094,661461
2022-04-17,250890,804507,1743493,4261766,3914394,5233281,2142083,661461
2022-04-18,250992,804987,1743539,4263178,3899850,5250568,2138175,661461
2022-04-19,251218,805451,1744501,4261734,3907690,5241303,2139186,662461
2022-04-20,251266,805913,1743579,4258820,3901076,5240043,2152884,660961
2022-04-21,251321,806032,1744406,4259351,3903903,5239108,2150472,660961
2022-04-22,251705,806699,1745128,4260314,3901429,5241629,2148565,660961
2022-04-23,251820,806943,1745366,4259303,3901237,5252091,2139471,661261
2022-04-24,251969,807271,1745975,4255518,3895494,5241060,2159938,661261
2022-04-25,251753,806920,1743451,4256592,3896240,5240778,2162486,661261
2022-04-26,252022,807152,1743831,4257214,3898337,5252447,2147615,661761
2022-04-27,252227,807335,1743910,4255065,3901463,5237324,2162391,661761
2022-04-28,252556,808089,1744308,4253491,3893731,5242611,2164759,662761
2022-04-29,252683,808448,1745075,4249394,3893147,5256407,2156810,661261
2022-04-30,252702,808765,1745689,4248014,3896024,5255195,2156493,661261
2022-05-01,253124,809554,1746095,4248295,3899812,5254336,2152679,661261
2022-05-02,253429,810649,1746880,4247829,3906784,5260286,2139050,661261
2022-05-03,253581,811428,1745942,4246466,3903114,5251849,2152415,662325
2022-05-04,254115,812416,1747086,4245827,3904825,5228817,2172639,662325
2022-05-05,254099,812017,1746625,4244831,3900975,5193744,2214396,662325
2022-05-06,254109,812507,1747265,4245027,3901668,5194156,2212843,662325
2022-05-07,253951,812545,1746893,4243020,3899953,5185773,2225427,663325
2022-05-08,254289,812896,1748289,4243641,3895910,5184603,2228833,663325
2022-05-09,254639,813348,1749218,4243659,3895164,5185917,2227454,663325
2022-05-10,254993,814307,1749837,4244597,3908606,5200443,2087608,773284
2022-05-11,255691,816100,1751160,4248183,3910850,5164650,2224609,663325
2022-05-12,256394,817952,1753280,4244807,3911814,5156456,2231443,663348
2022-05-13,256868,818389,1755278,4250082,3906539,5127881,2257931,663446
2022-05-14,255966,817067,1755188,4251491,3902502,5132962,2257608,664515
2022-05-15,254988,818213,1757708,4252539,3906699,5125380,2258040,664515
2022-05-16,254863,819822,1759660,4250858,3911752,5133710,2243882,664515
2022-05-17,254840,820546,1761598,4249329,3908658,5119696,2262232,663076
2022-05-18,255043,821437,1763738,4250303,3904107,5113539,2268419,664276
2022-05-19,255254,821836,1765094,4252634,3891001,5127601,2263908,664276
2022-05-20,255461,822134,1765563,4251029,3902294,5118005,2263650,664276
2022-05-21,255709,822776,1767299,4250749,3907446,5112348,2262635,664276
2022-05-22,255662,823187,1768211,4251049,3903953,5115173,2262514,664276
2022-05-23,255564,823585,1769589,4251664,3903764,5124105,2145067,771689
2022-05-24,255822,823940,1770175,4251735,3901862,5110524,2159910,771851
